User,Community
piropos,0
pges,0
,0
1.14166227.-1,0
berg,0
ivonne.brown,0
l..treadwell,0
btipton,0
tbland,0
ann.schmidt,0
ashley.kerr,0
richard.lewis,0
lance.jameson,0
conway77,0
swalker2,0
fgetman,0
mark.davis,0
Richard B Sanders/HOU/ECT,0
becky.young,0
mary.hain,0
jhawker,0
jamkartozian,0
1800flowers.191910071,0
paul.simons,0
jason.sokolov,0
bkc7,0
mjones7,0
william.keeney,0
lester.rawson,0
pam.benson,0
brian.hoskins,0
pushkar.shahi,0
bobbie.campbell,0
mark.lindsey,0
ann.white,0
esavers,0
julie.sarnowski,0
pla,0
tropicair,0
jeffrey.shankman,0
bobette.riner,0
john.forney,0
slav_fain,0
fernley.dyson,0
felicia.doan,0
timothy.versacci,0
mark.castiglione,0
smmayers,0
susan.bailey,0
creativewisdom,0
david.hall,0
mary.cook,0
peter.meier,0
kay.mann,0
alma.martinez,0
john.buchanan,0
vkaminski,0
dianne.seib,0
james.new,0
nmann,0
marc.eichmann,0
shanna.husser,0
james.bannantine,0
tom.hoatson,0
jeff.dasovich,0
patti.thompson,0
mmle,0
mike.fultz,0
amitava.dhar,0
ben.pacewic,0
kaye.ellis,0
ebiz,0
darren.vanek,0
david.baumbach,0
anne.koehler,0
auto-confirm,0
brenda.whitehead,0
irena.hogan,0
nicole.hunter,0
margaret.daffin,0
greg_spitzer,0
annas,0
jay.blaine,0
ursula.brenner,0
don.hawkins,0
sgovenar,0
billy.lemmons,0
awenner,0
harry.bucalo,0
bmckay,0
shift.dl-portland,0
bkuchar,0
louis.dicarlo,0
shirley.crenshaw,0
alicia.lenderman,0
c..gossett,0
wcash,0
w..vickers,0
kevin.mccutcheon,0
katherine.herrera,0
customersupport,0
eric.gonzales,0
technology.enron,0
laura.harder,0
faizs,0
cooper.richey,0
taffy.milligan,0
jake.thomas,0
bogden,0
redenvelope,0
matthias.lee,0
jermeier,0
david.johnson,0
wentapb,0
ricardo.perez,0
fiona.grant,0
victoria.versen,0
exchangeinfo,0
f..calger,0
suzanne.calcagno,0
tim.davies,0
hbinder,0
debbielatham,0
ed.iii,0
Enron Restricted List,0
arvind.ramanathan,0
marc69,0
laura.valencia,0
ajafry,0
rahil.jafry,0
cindy.richardson,0
robert.jones,0
ginger.dernehl,0
ryan.slinger,0
bryan.gottfredson,0
smester,0
steven.kean,0
kent.shoemaker,0
chris.dorland,0
michael.wong,0
shannon.mcpearson,0
kathy_gerken,0
mike.roberts,0
trena.mcfarland,0
george.wasaff,0
greg.trefz,0
cuttings.enron,0
scarey,0
kimberly.bates,0
s..bradford,0
robert.chmielewski,0
rogers.herndon,0
beth.miertschin,0
tstraws,0
michael.neves,0
chris.germany,0
pat.clynes,0
clayton.rondeau,0
geir.solberg,0
chrisboehler,0
sbigalow,0
thomas.myers,0
nikki.slade,0
suzanne.adams,0
mimsc,0
